index, name, address, latitude, longtitude
1,무역전시관입구(택시승강장),유성구 도룡동 3-8,,
2,대전컨벤션센터,유성구 도룡동 4-19,,
3,한밭수목원1,서구 만년동 396,,
4,초원아파트(104동 버스정류장),서구 만년동 401,,
5,둔산대공원 입구(버스정류장),서구 둔산2동 1521-10,,
6,백합네거리(농협),서구 월평2동 266,,
7,정부청사 입구(대덕대로),서구 둔산2동 920-2,,
8,정부청사 입구(샘머리),서구 둔산2동 1518,,
9,황실아파트(성룡초등학교),서구 월평2동 304,,
10,만년동 KBS 부근(기업은행),서구 만년동 300,,
11,누리아파트(후문 버스정류장),서구 월평3동 301,,
12,정부청사역 4번출구,서구 둔산2동 949-1,,
13,삼천중학교(정문 맞은편),서구 둔산2동 911,,
14,둔산 하이마트,서구 둔산2동 962,,
15,둔산 홈플러스(법원 버스정류장),서구 둔산1동 1380-5,,
16,국화아파트(501동),서구 둔산3동 1386,,
17,타임월드,서구 둔산2동 1036,,
18,대전시청,서구 둔산1동 1420,,
19,현대아이텔(시청역 6번출구),서구 둔산1동 1457,,
20,크로바아파트(정문 맞은편),서구 둔산1동 1554-1,,
21,카이스트 학사식당,유성구 어은동 44,,
22,카이스트 창의학습관,유성구 구성동 23,,
23,카이스트 정문,유성구 구성동 284-4,,
24,화폐박물관,유성구 가정동 35,,
25,카이스트 후문,유성구 구성동 145,,
26,엑스포과학공원 주차장,유성구 가정동 39-2,,
27,엑스포과학공원,유성구 도룡동 3-1,,
28,스마트시티(201동),유성구 도룡동 4-32,,
29,만년동주민센터,서구 만년동 13,,
30,선사유적지공용주차장,서구 월평2동 2243,,
31,유성구청,유성구 어은동 59-12,,
32,홈플러스(유성점),유성구 봉명동 669,,
33,월평역 2번출구(육교밑),서구 월평동 428,,
34,진달래아파트(107동),서구 월평동 604,,
35,갈마역 2번출구,서구 둔산동 1515-2,,
36,가람아파트(3동),서구 둔산동 2156,,
37,수정타운아파트(13동),서구 둔산동 1515,,
38,갑천역 1번출구,서구 월평동 1534,,
39,패션월드,서구 월평1동 1498,,
40,월평타운,서구 월평동 1543,,
41,대전일보,서구 월평동 41-3,,
42,갈마네거리,서구 갈마동 292-20,,
43,둔산여고,서구 둔산동 1526,,
44,을지대학병원,서구 둔산동 1542,,
45,청솔아파트(9동),서구 둔산동 2161,,
46,경성큰마을,서구 갈마동 1438,,
47,오페라웨딩홀,서구 둔산동 1257,,
48,대전종합고용지원센터(탄방역 4번출구),서구 탄방동 1453-1,,
49,한국농어촌공사,서구 탄방동 735,,
50,한가람아파트,서구 탄방동 1447,,
51,남선공원종합체육관,서구 탄방동 1458,,
52,유승기업사,서구 탄방동 521-2,,
53,탄방지하차도,서구 탄방동 1452,,
54,궁동네거리,유성구 장대동 312-3,,
55,충대정문오거리1(정문),유성구 궁동 258-8,,
56,충대정문오거리2(건너편),유성구 궁동 376-1,,
57,한진오피스텔,유성구 봉명동 535-5,,
58,구암역 3번출구,유성구 구암동 96-9,,
59,유성온천역 6번출구,유성구 봉명동 552-5,,
60,유성온천역 3번출구,유성구 봉명동 326-95,,
61,만년교(코젤병원),유성구 봉명동 328-22,,
62,도안휴먼시아1단지,유성구 봉명동 1024,,
63,상대초등학교,유성구 상대동 138-67,,
64,유성생명과학고등학교,유성구 상대동 425-9,,
65,도안 센트롤시티,유성구 봉명동 385-1,,
66,도안 휴먼시아6단지,유성구 상대동 7-1,,
67,도안 한라비발디,유성구 상대동 173,,
68,도안 신안인스빌리베라,유성구 원신흥동 204-8,,
69,도안 트리풀시티9단지(504동 맞은편),유성구 상대동 72-5,,
70,도안 휴먼시아10단지,유성구 원신흥동 183-2,,
71,대전지방국세청,대덕구 법동 186,,
72,대덕경찰서(법동),대덕구 법동 212,,
73,대전중앙병원,대덕구 법동 285-3,,
74,중리시장,대덕구 중리동 370-24,,
75,보람아파트,대덕구 법동 202-4,,
76,선비마을입구,대덕구 송촌동 446-3,,
77,선비마을3단지,대덕구 송촌동 461-2,,
78,중리동(하나로병원),대덕구 중리동 107-8,,
79,수도시설관리사업소,대덕구 중리동 118-12,,
80,송촌소방서,대덕구 송촌동 539,,
81,동춘당공원,대덕구 송촌동 192-2,,
82,선비마을5단지,대덕구 송촌동 510,,
83,유평초등학교,중구 태평동 254-15,,
84,강남한의원,중구 태평2동 2409-21,,
85,태평1동주민센터,중구 태평동 331-41,,
86,삼부프라자,중구 태평2동 2395-1,,
87,쌍용예가아파트,중구 유천동 198-15,,
88,태평초등학교,중구 유천동 319-1,,
89,버드내초등학교,중구 태평동 422-33,,
90,유등교,중구 유천동 338-13,,
91,버드내네거리,중구 유천동 306-18,,
92,서대전농협,중구 유천동 308-7,,
93,서대전육교,중구 유천동 186-7,,
94,미리내아파트,동구 판암동 451-10,,
95,판암역 2번출구,동구 판암동 323-2,,
96,판암역 4번출구,동구 판암동 303-25,,
97,가오고등학교,동구 가오동 465,,
98,은어송마을입구,동구 가오동 217-4,,
99,홈플러스 가오점(건너편),동구 가오동 644,,
100,홈플러스 가오점,동구 가오동 552,,
101,은어송마을4단지,동구 가오동 555,,
102,은어송마을2단지,동구 대성동 130-1,,
103,대전남부여성가족원,동구 가오동 559-1,,
104,국립중앙과학관,유성구 가정동 54-4,,
105,카이스트 서쪽 쪽문,유성구 구성동 23,,
106,카이스트 다솜관,유성구 구성동 23,,
107,카이스트 세종관,유성구 구성동 23,,
108,목원대학교 입구,유성구 용계동 664-4,,
109,서부농협본점,서구 탄방동 1455,,
110,용문네거리(용문역 3번출구),서구 용문동 594-10,,
111,순복음교회(수침교),서구 용문동 249-11,,
112,나르메아파트 길건너,서구 가장동 45-8,,
113,가장교(성은사),서구 가장동 31-7,,
114,태평동성당,중구 태평동 346-1,,
115,한전 대전세종충남지역본부(건너편),동구 용전동 45-1,,
116,홈플러스(동대전점),동구 용전동 51-17,,
117,동부네거리,동구 용전동 111-26,,
118,복합터미널,동구 용전동 143-16,,
119,용전동 천주교회,동구 용전동 144-1,,
120,한국통신 용전지점,동구 용전동 167-20,,
121,용전네거리(하나은행),동구 용전동 44-2,,
122,한남대후문 입구,대덕구 중리동 231-5,,
123,구)대덕경찰서(문평동),대덕구 문평동 83-2,,
124,목상동주민센터,대덕구 목상동 185-1,,
125,엑슬루타워,대덕구 석봉동 336,,
126,신탄진동주민센터,대덕구 신탄진동 120-1,,
127,신탄진역,대덕구 신탄진동 147-6,,
128,과선교버스정류장,대덕구 평촌동 264-64,,
129,신탄진고네거리,대덕구 신탄진동 149-6,,
130,용정초등학교,대덕구 신탄진동 52-1,,
131,에코공원,대덕구 신탄진동 산1-7,,
132,삼정삼거리,대덕구 삼정동 산27-4,,
133,오룡역 7번출구,중구 용두동 113-12,,
134,중도일보,중구 오류동 175-3,,
135,서대전역네거리,중구 오류동 168-7,,
136,중구청역 1번출구(중구청의회),중구 대흥동 499-1,,
137,센트럴파크(302동),중구 문화동 1-256,,
138,센트럴파크(105동),중구 문화동 284-168,,
139,서대전네거리역 3번출구,중구 오류동 152-5,,
140,대전시민대학 정문,중구 선화동 287-2,,
141,대전세무서,중구 선화동 184-1,,
142,선화참좋은아파트(유안타증권),중구 선화동 83-1,,
143,중앙로역 3번출구,중구 대흥동 198-1,,
144,타슈 관제센터,유성구 원촌동 76-1,,
145,도안 호반베르디움(201동),유성구 봉명동 972,,
146,도안 호반베르디움(101동),서구 가수원동 394,,
147,도안 계룡리슈빌(1704동),서구 도안동 1370,,
148,도안 금성백조(701동),유성구 봉명동 1038-1,,
149,도안 트리풀시티5단지(509동),유성구 상대동 495,,
150,도안 우미린(1806동),서구 가수원동 1363,,
151,우송대 정문(건너편),동구 자양동 58-12,,
152,대전역(대한통운 맞은편),동구 정동 15-23,,
153,대동역 4번출구,동구 대동 148-112,,
154,한남오거리,대덕구 오정동 731,,
155,오정동 운암빌딩,대덕구 오정동 61-13,,
156,중촌네거리(목동우체국 방면),중구 중촌동 398-14,,
157,중촌초등학교(건너편),중구 중촌동 462,,
158,전자통신연구원,유성구 가정동 160-2,,
159,연구단지네거리,유성구 도룡동 393-2,,
160,연구단지운동장(건너편),유성구 신성동 108-2,,
161,연구단지 KT_G(건너편),유성구 신성동 산19-3,,
162,송강체육관,유성구 송강동 200-2,,
163,송강초등학교,유성구 송강동 199,,
164,롯데마트(관평점),유성구 관평동 1286,,
165,배울네거리,유성구 관평동 912,,
166,인동네거리,동구 인동 116-18,,
167,원동네거리,동구 원동 36-1,,
168,성남네거리,동구 성남동 50-1,,
169,삼성네거리,동구 삼성동 112-1,,
170,대전고오거리,중구 대흥동 320-2,,
171,대흥네거리,중구 대흥동 173-5,,
172,부사네거리,중구 부사동 129-5,,
173,무지개아파트,서구 월평동 298,,
174,가수원네거리(전통시장 입구),서구 가수원동 764-11,,
175,건양대네거리,서구 관저동 999,,
176,관저2동주민센터,서구 관저동 1104,,
177,관저1동주민센터,서구 관저동 999-3,,
178,노은역 3번출구,유성구 지족동 901-5,,
179,반석역 1번출구,유성구 반석동 694,,
180,전민동주민센터(건너편),유성구 전민동 304-5,,
181,엑스포아파트4단지(건너편),유성구 전민동 385-8,,
182,한밭대 입구,유성구 덕명동 16-1,,
183,현충원역 3번출구,유성구 구암동 424-67,,
184,오정우체국(건너편),대덕구 오정동 432-4,,
185,비래동 산림조합,대덕구 비래동 123-7,,
186,한밭수목원2,서구 만년동 396,,
187,양우건설 내안애,유성구 원신흥동 485-3,,
188,구봉초등학교(건너편),서구 관저동 1147,,
189,샘물타운아파트(301동),유성구 원내동 349,,
190,교촌제이파크(101동),유성구 교촌동 617,,
191,신흥마을아파트(102동),동구 신흥동 212,,
192,보문산오거리,중구 대사동 118-9,,
193,석교동주민센터,중구 석교동 12-7,,
194,호동우체국(건너편),중구 호동 10-14,,
195,한밭도서관,중구 문화동 141,,
196,대덕문화원,대덕구 읍내동 324-5,,
197,농도원네거리,서구 도마동 65-56,,
198,도마네거리,서구 도마동 172-13,,
199,노은1동주민센터,유성구 노은동 546,,
200,지족역 2번출구(건너편),유성구 지족동 840-2,,
201,노은3동주민센터,유성구 지족동 1024-2,,
202,도안초등학교,서구 도안동 1364,,
203,죽동 금성백조,유성구 죽동 108-4,,
204,낭월 오투그란데(108동 맞은편),동구 낭월동 215-2,,
205,대성삼거리,동구 대성동 200-4,,
206,대전대 후문,동구 용운동 631,,
207,가양초등학교,동구 가양동 288-6,,
208,회덕농협(건너편),대덕구 읍내동 573-4,,
209,동부평생교육원,대덕구 법동 440-1,,
210,읍내동우편취급국,대덕구 읍내 215-5,,
211,석봉문화센터,대덕구 석봉동 184-1,,
212,대덕구보건소네거리(자연애마트),대덕구 덕암동 12-1,,
213,송림네거리,유성구 하기동 516,,
214,외삼네거리(603동),유성구 반석동 613,,
215,지족초등학교,유성구 지족동 853,,
216,건양대학교병원,서구 관저동 1900,,
217,초록마을아파트3단지,서구 복수동 613,,
218,충대병원입구(건너편),중구 대사동 248-29,,
219,문화초등학교네거리,중구 유천동 168-8,,
220,머티네거리,중구 산성동 160-9,,
221,갈마중학교(서부장로교회),서구 갈마동 338-1,,
222,갈마아파트 한마음동산,서구 갈마동 392-6,,
223,가양비래공원네거리,대덕구 비래동 47-1,,
224,정림삼거리,서구 정림동 497,,
225,대전보건대,동구 가양동 88-1,,
226,대정동 모다아울렛,유성구 대정동 303-2,,
227,죽동 대원칸타빌,유성구 죽동 141-3,,
228,노은3지구 트리풀시티포레(105동),유성구 지족동 1043,,
229,송림마을5단지(502동),유성구 하기동 545,,
230,노은3지구 꿈에그린(201동),유성구 지족동 1093,,
231,덕명동 하우스토리(101동),유성구 덕명동 525,,
232,온천2동주민센터,유성구 장대동 40-2,,
233,대덕산업단지 BRT정류장,대덕구 문평동 92-1,,
234,와동 현대아파트(대덕의원),대덕구 와동 372-7,,
235,비래동 금성백조(102동),대덕구 비래동 130-7,,
236,가양2동주민센터(건너편 한산아파트),동구 가양동 55-3,,
237,변동네거리(복음천하교회),서구 변동 60-2,,
238,내동네거리(컨벤션웨딩홀),서구 변동 70-9,,
239,느리울중네거리,서구 관저동 1394,,
240,서부경찰서,서구 복수동 292-14,,
241,사정동 웰빙24시 사우나,중구 사정동 401,,
242,서대전역,중구 오류동 170-1,,
243,솔브릿지 국제대학,동구 삼성동 151-13,,
244,우송대 서문(건너편),동구 가양동 307-3,,
245,천동초등학교,동구 천동 199-64,,
246,용방마을아파트(301동),동구 용운동 460,,
247,목동 한사랑아파트(109동),중구 목동 112-12,,
248,옥계동 새마을금고,중구 옥계동 46-15,,
249,관저 금성백조(114동),서구 관저동 1574,,
250,노은3지구 영무예다음(102동),유성구 지족동 1052,,
251,관저 더샵(109동),서구 관저동 1985,,
252,대전정부청사 남문,서구 둔산동 1517,,
253,가수원파출소(건너편),서구 가수원동 1373,,
254,대전과학기술대학교 정문,서구 복수동 257-5,,
255,용운국제수영장,동구 용운동 301-12,,
256,신성동 수천이들 근린공원,유성구 신성동 494,,
257,대전테크노파크,유성구 용산동 605,,
258,천문대입구,유성구 신성동 458,,
259,대덕대학교,유성구 장동 48,,
260,오정농수산물 도매시장,대덕구 오정동 45-1,,
261,도로교통공단(건너편 라도무스),유성구 원신흥동 608,,
262,(설치중)반석 더샵,유성구 반석동 704,,
