index, name, address,longtitude,latitude
1,무역전시관입구(택시승강장),유성구 도룡동 3-8,36.37512113,127.3893852
2,대전컨벤션센터,유성구 도룡동 4-19,36.37501699,127.3916887
3,한밭수목원1,서구 만년동 396,36.36793207,127.3877834
4,초원아파트(104동 버스정류장),서구 만년동 401,36.36798435,127.3795206
5,둔산대공원 입구(버스정류장),서구 둔산2동 1521-10,36.36452489,127.3889145
6,백합네거리(농협),서구 월평2동 266,36.36150724,127.3755067
7,정부청사 입구(대덕대로),서구 둔산2동 920-2,36.36215763,127.3797876
8,정부청사 입구(샘머리),서구 둔산2동 1518,36.36128606,127.3903194
9,황실아파트(성룡초등학교),서구 월평2동 304,36.3616216,127.3735828
10,만년동 KBS 부근(기업은행),서구 만년동 300,36.37036001,127.3806992
11,누리아파트(후문 버스정류장),서구 월평3동 301,36.35890251,127.3713527
12,정부청사역 4번출구,서구 둔산2동 949-1,36.35797495,127.381587
13,삼천중학교(정문 맞은편),서구 둔산2동 911,36.35832669,127.3943619
14,둔산 하이마트,서구 둔산2동 962,36.3554342,127.3789164
15,둔산 홈플러스(법원 버스정류장),서구 둔산1동 1380-5,36.35605057,127.3895027
16,국화아파트(501동),서구 둔산3동 1386,36.35412463,127.3944519
17,타임월드,서구 둔산2동 1036,36.35233826,127.3785428
18,대전시청,서구 둔산1동 1420,36.35016577,127.3848364
19,현대아이텔(시청역 6번출구),서구 둔산1동 1457,36.35158499,127.3886308
20,크로바아파트(정문 맞은편),서구 둔산1동 1554-1,36.35126995,127.3920335
21,카이스트 학사식당,유성구 어은동 44,36.37339707,127.3588443
22,카이스트 창의학습관,유성구 구성동 23,36.36885477,127.3638958
24,화폐박물관,유성구 가정동 35,36.3775389,127.3694198
27,엑스포과학공원,유성구 도룡동 3-1,36.37735659,127.3843117
28,스마트시티(201동),유성구 도룡동 4-32,36.37761383,127.3917054
29,만년동주민센터,서구 만년동 13,36.36683291,127.3719715
31,유성구청,유성구 어은동 59-12,36.36179992,127.3574348
32,홈플러스(유성점),유성구 봉명동 669,36.35846159,127.3543375
33,월평역 2번출구(육교밑),서구 월평동 428,36.35819087,127.3618194
34,진달래아파트(107동),서구 월평동 604,36.3576718,127.3658595
35,갈마역 2번출구,서구 둔산동 1515-2,36.35764378,127.3754149
36,가람아파트(3동),서구 둔산동 2156,36.35577392,127.3985771
37,수정타운아파트(13동),서구 둔산동 1515,36.35775141,127.3979866
38,갑천역 1번출구,서구 월평동 1534,36.35437198,127.3546054
39,패션월드,서구 월평1동 1498,36.35149539,127.352015
40,월평타운,서구 월평동 1543,36.35382001,127.3593091
41,대전일보,서구 월평동 41-3,36.35366969,127.3631712
42,갈마네거리,서구 갈마동 292-20,36.35350751,127.3677425
43,둔산여고,서구 둔산동 1526,36.35409225,127.3742068
44,을지대학병원,서구 둔산동 1542,36.35446498,127.3829623
45,청솔아파트(9동),서구 둔산동 2161,36.35124975,127.3984212
46,경성큰마을,서구 갈마동 1438,36.34705852,127.3772038
47,오페라웨딩홀,서구 둔산동 1257,36.34879652,127.3825863
48,대전종합고용지원센터(탄방역 4번출구),서구 탄방동 1453-1,36.3464501,127.3848681
49,한국농어촌공사,서구 탄방동 735,36.3474232,127.3898359
50,한가람아파트,서구 탄방동 1447,36.34707504,127.3933793
51,남선공원종합체육관,서구 탄방동 1458,36.34890444,127.3986132
52,유승기업사,서구 탄방동 521-2,36.34350684,127.3811499
53,탄방지하차도,서구 탄방동 1452,36.34340231,127.3833495
54,궁동네거리,유성구 장대동 312-3,36.36480356,127.338703
55,충대정문오거리1(정문),유성구 궁동 258-8,36.36253674,127.3440513
56,충대정문오거리2(건너편),유성구 궁동 376-1,36.36182478,127.3450501
57,한진오피스텔,유성구 봉명동 535-5,36.35660058,127.3418996
58,구암역 3번출구,유성구 구암동 96-9,36.35642583,127.3311435
59,유성온천역 6번출구,유성구 봉명동 552-5,36.35431465,127.341248
62,도안휴먼시아1단지,유성구 봉명동 1024,36.35039508,127.3422972
66,도안 휴먼시아6단지,유성구 상대동 7-1,36.48687525,127.39404
71,대전지방국세청,대덕구 법동 186,36.37247619,127.4290326
72,대덕경찰서(법동),대덕구 법동 212,36.36981585,127.4294439
73,대전중앙병원,대덕구 법동 285-3,36.36857167,127.4284976
74,중리시장,대덕구 중리동 370-24,36.3663983,127.4260109
75,보람아파트,대덕구 법동 202-4,36.3668679,127.4304811
76,선비마을입구,대덕구 송촌동 446-3,36.36730143,127.4364651
77,선비마을3단지,대덕구 송촌동 461-2,36.36838789,127.4411249
78,중리동(하나로병원),대덕구 중리동 107-8,36.36313653,127.4315268
79,수도시설관리사업소,대덕구 중리동 118-12,36.36225181,127.4347898
80,송촌소방서,대덕구 송촌동 539,36.3635499,127.4411072
81,동춘당공원,대덕구 송촌동 192-2,36.36480928,127.4410948
82,선비마을5단지,대덕구 송촌동 510,36.36715627,127.4463403
83,유평초등학교,중구 태평동 254-15,36.33017454,127.3985006
85,태평1동주민센터,중구 태평동 331-41,36.32607466,127.39657
87,쌍용예가아파트,중구 유천동 198-15,36.32253597,127.3984692
88,태평초등학교,중구 유천동 319-1,36.32159338,127.3954363
89,버드내초등학교,중구 태평동 422-33,36.31947462,127.392131
90,유등교,중구 유천동 338-13,36.31571033,127.3877922
91,버드내네거리,중구 유천동 306-18,36.31687611,127.3925554
92,서대전농협,중구 유천동 308-7,36.31804781,127.3947173
95,판암역 2번출구,동구 판암동 323-2,36.31688808,127.4590584
97,가오고등학교,동구 가오동 465,36.31044731,127.4556315
99,홈플러스 가오점(건너편),동구 가오동 644,36.30627193,127.4569641
100,홈플러스 가오점,동구 가오동 552,36.30740007,127.4570659
101,은어송마을4단지,동구 가오동 555,36.30986522,127.4618364
102,은어송마을2단지,동구 대성동 130-1,36.30373888,127.4577541
103,대전남부여성가족원,동구 가오동 559-1,36.30412568,127.459359
104,국립중앙과학관,유성구 가정동 54-4,36.37515731,127.3780548
105,카이스트 서쪽 쪽문,유성구 구성동 23,36.36885477,127.3638958
106,카이스트 다솜관,유성구 구성동 23,36.36885477,127.3638958
107,카이스트 세종관,유성구 구성동 23,36.36885477,127.3638958
108,목원대학교 입구,유성구 용계동 664-4,36.33164622,127.3375506
109,서부농협본점,서구 탄방동 1455,36.34239229,127.3879368
110,용문네거리(용문역 3번출구),서구 용문동 594-10,36.33774157,127.3920897
111,순복음교회(수침교),서구 용문동 249-11,36.33586534,127.3968718
112,나르메아파트 길건너,서구 가장동 45-8,36.33185912,127.3853714
113,가장교(성은사),서구 가장동 31-7,36.32861593,127.3880936
114,태평동성당,중구 태평동 346-1,36.32971015,127.3968706
115,한전 대전세종충남지역본부(건너편),동구 용전동 45-1,36.35724301,127.4341009
116,홈플러스(동대전점),동구 용전동 51-17,36.35513468,127.4365121
118,복합터미널,동구 용전동 143-16,36.34883879,127.4348223
119,용전동 천주교회,동구 용전동 144-1,36.34938521,127.4326996
120,한국통신 용전지점,동구 용전동 167-20,36.35296429,127.4322162
121,용전네거리(하나은행),동구 용전동 44-2,36.35786592,127.433193
122,한남대후문 입구,대덕구 중리동 231-5,36.35852073,127.4235985
123,구)대덕경찰서(문평동),대덕구 문평동 83-2,36.44679856,127.405946
124,목상동주민센터,대덕구 목상동 185-1,36.44827215,127.4131945
126,신탄진동주민센터,대덕구 신탄진동 120-1,36.45164731,127.4291434
127,신탄진역,대덕구 신탄진동 147-6,36.44845573,127.4290338
129,신탄진고네거리,대덕구 신탄진동 149-6,36.44832273,127.4360213
130,용정초등학교,대덕구 신탄진동 52-1,36.45392537,127.4365083
131,에코공원,대덕구 신탄진동 산1-7,36.44876257,127.4444181
132,삼정삼거리,대덕구 삼정동 산27-4,36.449494,127.4566956
133,오룡역 7번출구,중구 용두동 113-12,36.32836534,127.4058257
134,중도일보,중구 오류동 175-3,36.32591348,127.4077718
135,서대전역네거리,중구 오류동 168-7,36.32104442,127.4059384
136,중구청역 1번출구(중구청의회),중구 대흥동 499-1,36.32547931,127.4213773
137,센트럴파크(302동),중구 문화동 1-256,36.31868609,127.411517
138,센트럴파크(105동),중구 문화동 284-168,36.31628004,127.4066224
140,대전시민대학 정문,중구 선화동 287-2,36.32674164,127.420374
141,대전세무서,중구 선화동 184-1,36.33067917,127.4191124
142,선화참좋은아파트(유안타증권),중구 선화동 83-1,36.332047,127.4222919
143,중앙로역 3번출구,중구 대흥동 198-1,36.32777511,127.4260293
147,도안 계룡리슈빌(1704동),서구 도안동 1370,36.31517337,127.3440635
148,도안 금성백조(701동),유성구 봉명동 1038-1,36.3481628,127.3446819
149,도안 트리풀시티5단지(509동),유성구 상대동 495,36.34552398,127.338903
151,우송대 정문(건너편),동구 자양동 58-12,36.33697833,127.447843
152,대전역(대한통운 맞은편),동구 정동 15-23,36.3323869,127.4318751
153,대동역 4번출구,동구 대동 148-112,36.32967211,127.4424076
154,한남오거리,대덕구 오정동 731,36.34987449,127.4154155
155,오정동 운암빌딩,대덕구 오정동 61-13,36.35860845,127.4112282
156,중촌네거리(목동우체국 방면),중구 중촌동 398-14,36.33599349,127.4149132
157,중촌초등학교(건너편),중구 중촌동 462,36.3404982,127.4110782
158,전자통신연구원,유성구 가정동 160-2,36.3839662,127.3682083
159,연구단지네거리,유성구 도룡동 393-2,36.38538863,127.3768531
160,연구단지운동장(건너편),유성구 신성동 108-2,36.38540912,127.3537413
161,연구단지 KT_G(건너편),유성구 신성동 산19-3,36.3848179,127.3491091
162,송강체육관,유성구 송강동 200-2,36.43172001,127.3868747
163,송강초등학교,유성구 송강동 199,36.4321702,127.3822896
164,롯데마트(관평점),유성구 관평동 1286,36.42899221,127.3921413
165,배울네거리,유성구 관평동 912,36.4219161,127.3877885
166,인동네거리,동구 인동 116-18,36.32196956,127.4379807
167,원동네거리,동구 원동 36-1,36.32705794,127.4346135
168,성남네거리,동구 성남동 50-1,36.34098098,127.4354359
169,삼성네거리,동구 삼성동 112-1,36.33595351,127.429812
170,대전고오거리,중구 대흥동 320-2,36.3222077,127.4246745
171,대흥네거리,중구 대흥동 173-5,36.32366253,127.4284988
172,부사네거리,중구 부사동 129-5,36.31343849,127.4338704
173,무지개아파트,서구 월평동 298,36.35818314,127.3769153
174,가수원네거리(전통시장 입구),서구 가수원동 764-11,36.30471521,127.3529957
175,건양대네거리,서구 관저동 999,36.3033914,127.3389221
176,관저2동주민센터,서구 관저동 1104,36.2992273,127.3352506
177,관저1동주민센터,서구 관저동 999-3,36.30380243,127.3373255
178,노은역 3번출구,유성구 지족동 901-5,36.37446586,127.3184187
179,반석역 1번출구,유성구 반석동 694,36.39122773,127.3148534
180,전민동주민센터(건너편),유성구 전민동 304-5,36.39937451,127.4018064
181,엑스포아파트4단지(건너편),유성구 전민동 385-8,36.39698253,127.4045795
182,한밭대 입구,유성구 덕명동 16-1,36.35091861,127.3010861
183,현충원역 3번출구,유성구 구암동 424-67,36.35970241,127.3203491
184,오정우체국(건너편),대덕구 오정동 432-4,36.35259223,127.4157841
185,비래동 산림조합,대덕구 비래동 123-7,36.35503496,127.4472925
186,한밭수목원2,서구 만년동 396,36.36793207,127.3877834
188,구봉초등학교(건너편),서구 관저동 1147,36.2986558,127.3296901
190,교촌제이파크(101동),유성구 교촌동 617,36.3045487,127.3190054
191,신흥마을아파트(102동),동구 신흥동 212,36.3203105,127.4450054
192,보문산오거리,중구 대사동 118-9,36.31765613,127.4255389
193,석교동주민센터,중구 석교동 12-7,36.30991671,127.4420104
194,호동우체국(건너편),중구 호동 10-14,36.30501808,127.4488855
195,한밭도서관,중구 문화동 141,36.31149187,127.4093196
196,대덕문화원,대덕구 읍내동 324-5,36.37410739,127.4206184
197,농도원네거리,서구 도마동 65-56,36.32031574,127.377505
198,도마네거리,서구 도마동 172-13,36.31393135,127.3793274
199,노은1동주민센터,유성구 노은동 546,36.36826175,127.3184478
200,지족역 2번출구(건너편),유성구 지족동 840-2,36.3831307,127.3190971
201,노은3동주민센터,유성구 지족동 1024-2,36.386792,127.3079811
202,도안초등학교,서구 도안동 1364,36.31964383,127.3458938
204,낭월 오투그란데(108동 맞은편),동구 낭월동 215-2,36.28516075,127.4658127
205,대성삼거리,동구 대성동 200-4,36.29521865,127.4603094
206,대전대 후문,동구 용운동 631,36.33460846,127.4567505
207,가양초등학교,동구 가양동 288-6,36.34355886,127.4425697
208,회덕농협(건너편),대덕구 읍내동 573-4,36.37874059,127.4271154
209,동부평생교육원,대덕구 법동 440-1,36.37434734,127.4283452
211,석봉문화센터,대덕구 석봉동 184-1,36.44714911,127.4262369
212,대덕구보건소네거리(자연애마트),대덕구 덕암동 12-1,36.44382989,127.4251273
213,송림네거리,유성구 하기동 516,36.38726315,127.3206163
214,외삼네거리(603동),유성구 반석동 613,36.3942732,127.3091351
215,지족초등학교,유성구 지족동 853,36.37917893,127.3166583
216,건양대학교병원,서구 관저동 1900,36.30434664,127.341641
217,초록마을아파트3단지,서구 복수동 613,36.30051274,127.3789662
218,충대병원입구(건너편),중구 대사동 248-29,36.31577388,127.4182584
219,문화초등학교네거리,중구 유천동 168-8,36.31307133,127.3996002
220,머티네거리,중구 산성동 160-9,36.30912912,127.3882197
221,갈마중학교(서부장로교회),서구 갈마동 338-1,36.34948397,127.3686249
222,갈마아파트 한마음동산,서구 갈마동 392-6,36.34412614,127.3680119
223,가양비래공원네거리,대덕구 비래동 47-1,36.35379179,127.4552954
224,정림삼거리,서구 정림동 497,36.30707544,127.3638386
225,대전보건대,동구 가양동 88-1,36.34904348,127.4520801
226,대정동 모다아울렛,유성구 대정동 303-2,36.31264805,127.3189803
228,노은3지구 트리풀시티포레(105동),유성구 지족동 1043,36.38050625,127.3051189
229,송림마을5단지(502동),유성구 하기동 545,36.38989049,127.3300855
230,노은3지구 꿈에그린(201동),유성구 지족동 1093,36.38792222,127.3048534
231,덕명동 하우스토리(101동),유성구 덕명동 525,36.35639624,127.3035473
232,온천2동주민센터,유성구 장대동 40-2,36.36526385,127.3334139
233,대덕산업단지 BRT정류장,대덕구 문평동 92-1,36.43864973,127.3949641
234,와동 현대아파트(대덕의원),대덕구 와동 372-7,36.40082159,127.4231036
235,비래동 금성백조(102동),대덕구 비래동 130-7,36.35796619,127.450622
236,가양2동주민센터(건너편 한산아파트),동구 가양동 55-3,36.34890242,127.4481798
237,변동네거리(복음천하교회),서구 변동 60-2,36.32450701,127.3781332
238,내동네거리(컨벤션웨딩홀),서구 변동 70-9,36.33065989,127.3768306
239,느리울중네거리,서구 관저동 1394,36.29624676,127.3424984
240,서부경찰서,서구 복수동 292-14,36.30870043,127.373075
241,사정동 웰빙24시 사우나,중구 사정동 401,36.29650349,127.3848531
242,서대전역,중구 오류동 170-1,36.3221204,127.4046984
243,솔브릿지 국제대학,동구 삼성동 151-13,36.33839384,127.4325253
244,우송대 서문(건너편),동구 가양동 307-3,36.34013235,127.4459664
245,천동초등학교,동구 천동 199-64,36.31671378,127.4439067
246,용방마을아파트(301동),동구 용운동 460,36.32643698,127.4523885
248,옥계동 새마을금고,중구 옥계동 46-15,36.29886157,127.4541282
249,관저 금성백조(114동),서구 관저동 1574,36.29598244,127.3342772
250,노은3지구 영무예다음(102동),유성구 지족동 1052,36.37442965,127.3069837
251,관저 더샵(109동),서구 관저동 1985,36.29456137,127.3292906
252,대전정부청사 남문,서구 둔산동 1517,36.35949495,127.3849018
253,가수원파출소(건너편),서구 가수원동 1373,36.30835446,127.3516
254,대전과학기술대학교 정문,서구 복수동 257-5,36.30453728,127.3748243
255,용운국제수영장,동구 용운동 301-12,36.32388886,127.4648416
256,신성동 수천이들 근린공원,유성구 신성동 494,36.3940276,127.3536595
257,대전테크노파크,유성구 용산동 605,36.42329574,127.4053133
258,천문대입구,유성구 신성동 458,36.38271263,127.3546218
259,대덕대학교,유성구 장동 48,36.39066792,127.3653638
260,오정농수산물 도매시장,대덕구 오정동 45-1,36.35783016,127.407324
261,도로교통공단(건너편 라도무스),유성구 원신흥동 608,36.33295589,127.3328754
262,(설치중)반석 더샵,유성구 반석동 704,36.39004234,127.3047225
